"time","bond_closing_yields_1year","interbank"
"Jul 2003",4.85,5.03761
"Aug 2003",4.99,5.27625
"Sep 2003",5.08,5.41773
"Oct 2003",5.37,5.54522
"Nov 2003",5.59,5.85525
"Dec 2003",5.49,5.84488
"Jan 2004",5.37,5.73952
"Feb 2004",5.5,5.826
"Mar 2004",5.38,5.68609
"Apr 2004",5.43,5.78488
"May 2004",5.75,6.13868
"Jun 2004",5.93,6.33898
"Jul 2004",6.09,6.45045
"Aug 2004",6.22,6.59548
"Sep 2004",6.34,6.74489
"Oct 2004",6.24,6.8019
"Nov 2004",6.22,6.69534
"Dec 2004",6.28,6.65881
"Jan 2005",6.38,6.77088
"Feb 2005",6.33,6.89313
"Mar 2005",6.45,7.08643
"Apr 2005",6.47,7.08119
"May 2005",6.42,7.06619
"Jun 2005",6.32,7.03034
"Jul 2005",6.39,7.00095
"Aug 2005",6.46,7.00614
"Sep 2005",6.49,7.09693
"Oct 2005",6.61,7.39583
"Nov 2005",6.82,7.63602
"Dec 2005",6.82,7.63211
"Jan 2006",6.46,7.50595
"Feb 2006",6.39,7.40513
"Mar 2006",6.82,7.30478
"Apr 2006",6.82,7.30722
"May 2006",6.81,7.43607
"Jun 2006",6.89,7.49693
"Jul 2006",7,7.56821
"Aug 2006",7.01,7.62739
"Sep 2006",7.08,7.69512
"Oct 2006",7.24,7.78273
"Nov 2006",6.77,7.73511
"Dec 2006",6.5,7.84263
"Jan 2007",6.57,7.93398
"Feb 2007",6.79,8.01713
"Mar 2007",6.99,8.0808
"Apr 2007",7.24,8.21987
"May 2007",7.32,8.30833
"Jun 2007",7.49,8.52321
"Jul 2007",7.81,8.62727
"Aug 2007",7.76,8.85398
"Sep 2007",7.03,8.89763
"Oct 2007",7.07,8.97141
"Nov 2007",7.35,9.08733
"Dec 2007",7.52,9.22934
"Jan 2008",7.52,9.10886
"Feb 2008",7.32,9.22583
"Mar 2008",7.08,9.20184
"Apr 2008",6.89,9.13295
"May 2008",6.89,8.824
"Jun 2008",7.03,8.85869
"Jul 2008",6.9,8.53315
"Aug 2008",6.88,8.17625
"Sep 2008",6.43,8.16409
"Oct 2008",5.61,8.36416
"Nov 2008",5.26,6.76775
"Dec 2008",4.52,5.86536
"Jan 2009",3.55,4.975
"Feb 2009",3.12,4.04229
"Mar 2009",3.12,4.03352
"Apr 2009",2.99,3.95563
"May 2009",3.06148083333352,3.76711
"Jun 2009",2.59575290000006,3.65898
"Jul 2009",2.97044505000011,3.75283
"Aug 2009",2.59575290000006,3.697
"Sep 2009",2.59593440000006,3.71216
"Oct 2009",3.5581899833334,4.1558
"Nov 2009",3.56983788333335,4.25881
"Dec 2009",3.56048938333335,4.19833
"Jan 2010",3.56983788333335,4.25013
"Feb 2010",3.22711119999996,4.00088
"Mar 2010",3.14559905000017,3.88554
"Apr 2010",3.22711119999996,4
"May 2010",3.56045278333335,4.17974
"Jun 2010",3.56843533333336,4.39455
"Jul 2010",3.57621051666669,4.55534
"Aug 2010",3.59,4.44298
"Sep 2010",3.64,4.17932
"Oct 2010",3.5,4.10345
"Nov 2010",3.58,4.13534
"Dec 2010",3.41,4.0344
"Jan 2011",3.33,3.99938
"Feb 2011",3.2,3.94363
"Mar 2011",2.64,3.39924
"Apr 2011",2.6,3.35569
"May 2011",2.59,3.41725
"Jun 2011",2.59,3.41648
"Jul 2011",2.62,3.43583
"Aug 2011",2.67,3.48727
"Sep 2011",2.55,3.51636
"Oct 2011",2.48,3.53762
"Nov 2011",2.52472106666674,3.51205
"Dec 2011",2.5233536333334,3.5024
"Jan 2012",2.52374680000007,3.51438
"Feb 2012",2.63,3.53333
"Mar 2012",2.65,3.55445
"Apr 2012",2.6,3.55253
"May 2012",2.33,3.51709
"Jun 2012",2.37,3.46074
"Jul 2012",2.43,3.45564
"Aug 2012",2.51,3.47436
"Sep 2012",2.53,3.4772
"Oct 2012",2.5,3.43591
"Nov 2012",2.48,3.37918
"Dec 2012",2.56410173333334,3.34179
"Jan 2013",2.56410173333334,3.33618
"Feb 2013",2.56410173333334,3.3345
